article_id,keyword,url,platform,schedule_label,scheduled_for_utc,copy_or_thread_json,status,social_post_id
kw_001,AI workflow automation Dallas services,https://www.operive.com/blog/ai-workflow-automation-dallas-services/,linkedin,publish_day,2026-07-16T15:00:00Z,"New Operive guide: AI workflow automation Dallas services. Practical steps for Dallas teams to pick the right workflow, measure ROI, and capture leads faster. #AIWorkflow #DallasBusiness #Automation https://www.operive.com/blog/ai-workflow-automation-dallas-services/",ready-not-scheduled-no-buffer-token,
kw_001,AI workflow automation Dallas services,https://www.operive.com/blog/ai-workflow-automation-dallas-services/,x_twitter,publish_day,2026-07-16T17:00:00Z,"[""Dallas teams lose leads when intake and follow-up depend on busy staff. New guide: AI workflow automation Dallas services."", ""Start with one high-friction workflow: missed calls, quote requests, booking reminders, or lead qualification."", ""Measure before/after: response speed, captured leads, booked appointments, staff time saved, and handoff quality."", ""Read the practical breakdown: https://www.operive.com/blog/ai-workflow-automation-dallas-services/ #AIWorkflow #DallasBusiness #Automation""]",ready-not-scheduled-no-buffer-token,
kw_001,AI workflow automation Dallas services,https://www.operive.com/blog/ai-workflow-automation-dallas-services/,linkedin,day_after,2026-07-17T15:00:00Z,"New Operive guide: AI workflow automation Dallas services. Practical steps for Dallas teams to pick the right workflow, measure ROI, and capture leads faster. #AIWorkflow #DallasBusiness #Automation https://www.operive.com/blog/ai-workflow-automation-dallas-services/",ready-not-scheduled-no-buffer-token,
kw_001,AI workflow automation Dallas services,https://www.operive.com/blog/ai-workflow-automation-dallas-services/,x_twitter,day_after,2026-07-17T17:00:00Z,"[""Dallas teams lose leads when intake and follow-up depend on busy staff. New guide: AI workflow automation Dallas services."", ""Start with one high-friction workflow: missed calls, quote requests, booking reminders, or lead qualification."", ""Measure before/after: response speed, captured leads, booked appointments, staff time saved, and handoff quality."", ""Read the practical breakdown: https://www.operive.com/blog/ai-workflow-automation-dallas-services/ #AIWorkflow #DallasBusiness #Automation""]",ready-not-scheduled-no-buffer-token,
kw_002,AI workflow automation Dallas company,https://www.operive.com/blog/ai-workflow-automation-dallas-company/,linkedin,publish_day,2026-07-17T15:00:00Z,"New Operive guide: AI workflow automation Dallas company. Practical steps for Dallas teams to pick the right workflow, measure ROI, and capture leads faster. #AIWorkflow #DallasBusiness #Automation https://www.operive.com/blog/ai-workflow-automation-dallas-company/",ready-not-scheduled-no-buffer-token,
kw_002,AI workflow automation Dallas company,https://www.operive.com/blog/ai-workflow-automation-dallas-company/,x_twitter,publish_day,2026-07-17T17:00:00Z,"[""Dallas teams lose leads when intake and follow-up depend on busy staff. New guide: AI workflow automation Dallas company."", ""Start with one high-friction workflow: missed calls, quote requests, booking reminders, or lead qualification."", ""Measure before/after: response speed, captured leads, booked appointments, staff time saved, and handoff quality."", ""Read the practical breakdown: https://www.operive.com/blog/ai-workflow-automation-dallas-company/ #AIWorkflow #DallasBusiness #Automation""]",ready-not-scheduled-no-buffer-token,
kw_002,AI workflow automation Dallas company,https://www.operive.com/blog/ai-workflow-automation-dallas-company/,linkedin,day_after,2026-07-18T15:00:00Z,"New Operive guide: AI workflow automation Dallas company. Practical steps for Dallas teams to pick the right workflow, measure ROI, and capture leads faster. #AIWorkflow #DallasBusiness #Automation https://www.operive.com/blog/ai-workflow-automation-dallas-company/",ready-not-scheduled-no-buffer-token,
kw_002,AI workflow automation Dallas company,https://www.operive.com/blog/ai-workflow-automation-dallas-company/,x_twitter,day_after,2026-07-18T17:00:00Z,"[""Dallas teams lose leads when intake and follow-up depend on busy staff. New guide: AI workflow automation Dallas company."", ""Start with one high-friction workflow: missed calls, quote requests, booking reminders, or lead qualification."", ""Measure before/after: response speed, captured leads, booked appointments, staff time saved, and handoff quality."", ""Read the practical breakdown: https://www.operive.com/blog/ai-workflow-automation-dallas-company/ #AIWorkflow #DallasBusiness #Automation""]",ready-not-scheduled-no-buffer-token,
kw_003,AI workflow automation Dallas consultant,https://www.operive.com/blog/ai-workflow-automation-dallas-consultant/,linkedin,publish_day,2026-07-18T15:00:00Z,"New Operive guide: AI workflow automation Dallas consultant. Practical steps for Dallas teams to pick the right workflow, measure ROI, and capture leads faster. #AIWorkflow #DallasBusiness #Automation https://www.operive.com/blog/ai-workflow-automation-dallas-consultant/",ready-not-scheduled-no-buffer-token,
kw_003,AI workflow automation Dallas consultant,https://www.operive.com/blog/ai-workflow-automation-dallas-consultant/,x_twitter,publish_day,2026-07-18T17:00:00Z,"[""Dallas teams lose leads when intake and follow-up depend on busy staff. New guide: AI workflow automation Dallas consultant."", ""Start with one high-friction workflow: missed calls, quote requests, booking reminders, or lead qualification."", ""Measure before/after: response speed, captured leads, booked appointments, staff time saved, and handoff quality."", ""Read the practical breakdown: https://www.operive.com/blog/ai-workflow-automation-dallas-consultant/ #AIWorkflow #DallasBusiness #Automation""]",ready-not-scheduled-no-buffer-token,
